user_id,event_name,event_timestamp,plan_name,billing_cycle,amount_usd,payment_status,renewal_number,cancel_reason,country,device_type,acquisition_channel,app_version,session_id
U_15819,signup,2026-01-01 00:12:00,,,,,,,US,iOS,Meta Ads,5.2.0,U_15819_S001
U_27873,signup,2026-01-01 00:17:00,,,,,,,DE,iOS,Google Ads,5.2.0,U_27873_S001
U_15819,onboarding_started,2026-01-01 00:23:00,,,,,,,US,iOS,Meta Ads,5.2.0,U_15819_S001
U_27873,onboarding_started,2026-01-01 00:25:00,,,,,,,DE,iOS,Google Ads,5.2.0,U_27873_S001
U_15819,onboarding_completed,2026-01-01 00:28:00,,,,,,,US,iOS,Meta Ads,5.2.0,U_15819_S001
U_15819,first_core_action,2026-01-01 00:36:00,,,,,,,US,iOS,Meta Ads,5.2.0,U_15819_S001
U_27873,onboarding_completed,2026-01-01 00:37:00,,,,,,,DE,iOS,Google Ads,5.2.0,U_27873_S001
U_32957,signup,2026-01-01 00:48:00,,,,,,,UK,Android,Google Ads,4.5.0,U_32957_S001
U_15819,ai_prompt_submitted,2026-01-01 00:49:00,,,,,,,US,iOS,Meta Ads,5.2.0,U_15819_S001
U_45145,signup,2026-01-01 00:53:00,,,,,,,TR,iOS,Google Ads,5.2.0,U_45145_S001
U_27873,first_core_action,2026-01-01 00:59:00,,,,,,,DE,iOS,Google Ads,5.2.0,U_27873_S001
U_32957,onboarding_started,2026-01-01 01:01:00,,,,,,,UK,Android,Google Ads,4.5.0,U_32957_S001
U_32957,onboarding_completed,2026-01-01 01:06:00,,,,,,,UK,Android,Google Ads,4.5.0,U_32957_S001
U_45145,onboarding_started,2026-01-01 01:07:00,,,,,,,TR,iOS,Google Ads,5.2.0,U_45145_S001
U_27873,ai_prompt_submitted,2026-01-01 01:09:00,,,,,,,DE,iOS,Google Ads,5.2.0,U_27873_S001
U_36067,signup,2026-01-01 01:22:00,,,,,,,US,iOS,TikTok Ads,5.2.0,U_36067_S001
U_45145,onboarding_completed,2026-01-01 01:25:00,,,,,,,TR,iOS,Google Ads,5.2.0,U_45145_S001
U_36067,onboarding_started,2026-01-01 01:34:00,,,,,,,US,iOS,TikTok Ads,5.2.0,U_36067_S001
U_31883,signup,2026-01-01 01:41:00,,,,,,,TR,Android,Meta Ads,4.5.0,U_31883_S001
U_45145,first_core_action,2026-01-01 01:48:00,,,,,,,TR,iOS,Google Ads,5.2.0,U_45145_S001
U_42653,signup,2026-01-01 01:52:00,,,,,,,UK,iOS,Meta Ads,5.2.0,U_42653_S001
U_47101,signup,2026-01-01 01:52:00,,,,,,,DE,Android,Google Ads,4.5.0,U_47101_S001
U_31883,onboarding_started,2026-01-01 01:54:00,,,,,,,TR,Android,Meta Ads,4.5.0,U_31883_S001
U_42653,onboarding_started,2026-01-01 01:56:00,,,,,,,UK,iOS,Meta Ads,5.2.0,U_42653_S001
U_45145,ai_prompt_submitted,2026-01-01 01:56:00,,,,,,,TR,iOS,Google Ads,5.2.0,U_45145_S001
U_31883,onboarding_completed,2026-01-01 01:58:00,,,,,,,TR,Android,Meta Ads,4.5.0,U_31883_S001
U_47101,onboarding_started,2026-01-01 02:00:00,,,,,,,DE,Android,Google Ads,4.5.0,U_47101_S001
U_42653,onboarding_completed,2026-01-01 02:12:00,,,,,,,UK,iOS,Meta Ads,5.2.0,U_42653_S001
U_47101,onboarding_completed,2026-01-01 02:19:00,,,,,,,DE,Android,Google Ads,4.5.0,U_47101_S001
U_31883,first_core_action,2026-01-01 02:22:00,,,,,,,TR,Android,Meta Ads,4.5.0,U_31883_S001
U_35047,signup,2026-01-01 02:22:00,,,,,,,UK,Android,Meta Ads,4.5.0,U_35047_S001
U_35047,onboarding_started,2026-01-01 02:24:00,,,,,,,UK,Android,Meta Ads,4.5.0,U_35047_S001
U_31883,ai_prompt_submitted,2026-01-01 02:35:00,,,,,,,TR,Android,Meta Ads,4.5.0,U_31883_S001
U_47101,first_core_action,2026-01-01 02:39:00,,,,,,,DE,Android,Google Ads,4.5.0,U_47101_S001
U_18458,signup,2026-01-01 04:07:00,,,,,,,BR,Android,Organic,4.5.0,U_18458_S001
U_18458,onboarding_started,2026-01-01 04:18:00,,,,,,,BR,Android,Organic,4.5.0,U_18458_S001
U_18458,onboarding_completed,2026-01-01 04:36:00,,,,,,,BR,Android,Organic,4.5.0,U_18458_S001
U_11386,signup,2026-01-01 04:54:00,,,,,,,DE,Android,Referral,4.5.0,U_11386_S001
U_11386,onboarding_started,2026-01-01 04:56:00,,,,,,,DE,Android,Referral,4.5.0,U_11386_S001
U_03675,signup,2026-01-01 05:22:00,,,,,,,DE,iOS,TikTok Ads,5.2.0,U_03675_S001
U_03675,onboarding_started,2026-01-01 05:25:00,,,,,,,DE,iOS,TikTok Ads,5.2.0,U_03675_S001
U_14437,signup,2026-01-01 05:28:00,,,,,,,US,Web,Meta Ads,web_2026_01,U_14437_S001
